AccountID,TransactionID,TransactionAmount,TransactionCurrencyCode,LocalHour,TransactionScenario,TransactionType,TransactionIPaddress,IpState,IpPostalCode,IpCountry,IsProxyIP,BrowserLanguage,PaymentInstrumentType,CardType,PaymentBillingPostalCode,PaymentBillingState,PaymentBillingCountryCode,ShippingPostalCode,ShippingState,ShippingCountry,CvvVerifyResult,DigitalItemCount,PhysicalItemCount,TransactionDateTime
I4127227587819694,8UX5SHHQ-FVEE-5XU7-FBF8-82OINYYK7KSD,1873.26,USD,6,A,P,173.225,connecticut,6840,us,FALSE,en-US,CREDITCARD,DISCOVER,6840,CT,US,6840,CT,US,M,0,17,3/8/2007 18:03
E9525730529761877,7LF834E4-BLWQ-FJ92-YEYA-85AF05RI2PCX,740.66,USD,13,A,P,81.159,greater london,sw2,gb,FALSE,en-GB,CREDITCARD,MC,GU11 1YH,,GB,GU11 1YH,,GB,M,10,19,7/26/2007 2:36
Z6376643485803420,8ZFFW0QS-PN3Y-9N5U-28DW-6HFI162RGVVF,1535.15,USD,4,A,P,97.118,colorado,80126,us,FALSE,en-US,CREDITCARD,VISA,80104,CO,US,80104,CO,US,M,6,24,4/7/2007 19:39
R8609290025411138,SVV7LJ8A-PG2L-JVNJ-66NF-HDSQ107UQO5N,1324.41,USD,13,A,P,216.15,new york,14534,us,FALSE,en-US,CREDITCARD,VISA,85233,AZ,US,85233,AZ,US,M,9,7,5/16/2007 11:37
Y9572700698484288,3SWVJA0R-MZ11-RM1T-E0BJ-XACU1NOQQRNC,697.31,BRL,14,A,P,91.119,wien,1000,at,FALSE,de-AT,CREDITCARD,VISA,1220,,AT,1220,,AT,M,0,25,10/18/2007 12:52
W9847720367646182,IG442ZIB-TJCR-V83L-0L8J-RHLM8MWX8MFK,575.16,USD,10,A,P,75.115,florida,33578,us,FALSE,en-US,CREDITCARD,MC,,,US,,,US,M,8,4,2/11/2007 1:59
U5867366267578316,AQBSXO9H-GVIH-XRPO-7BNJ-41VSZ568DR8G,551.9,USD,2,A,P,173.8,west virginia,25177,us,FALSE,en-US,CREDITCARD,VISA,79106,TX,US,79106,TX,US,M,3,11,2/24/2007 20:39
K2049522469066731,8GIUZZFR-GWFH-EW8Q-QNW4-Z3FB0NE1F5M6,829.73,AUD,15,A,P,71.191,district of columbia,20026,us,FALSE,en-US,CREDITCARD,MC,20169,VA,US,20169,VA,US,M,9,16,10/22/2007 2:47
Y3541188796364090,LEO23ZKU-MXY0-VD57-LNJM-0YJ3E2O30M0N,1084.51,USD,12,A,P,76.124,pennsylvania,19133,us,FALSE,en-US,CREDITCARD,VISA,11948,NY,US,11948,NY,US,M,4,19,5/23/2007 23:47
F5689640947178158,BKD7FG4R-8PIN-9P9E-YUPK-87WK4EYHMKNQ,798.01,USD,12,A,P,208.177,pennsylvania,19133,us,FALSE,en-US,CREDITCARD,,19460,PA,US,19460,PA,US,M,1,22,3/5/2007 6:18
R2712608754964983,IXYVU8RF-ZB2D-QUI4-VWR2-RW56UHZFU11K,480.14,USD,6,A,P,68.4,michigan,48327,us,FALSE,en-US,CREDITCARD,VISA,48348,MI,US,48348,MI,US,M,4,14,2/10/2007 20:48
